frame,cpu_ms,gpu_ms
0,1.931208,7.697708
1,3.564625,5.666124
2,2.350708,5.754458
3,2.91125,6.337791
4,2.042417,6.554874
5,2.212125,6.444625
6,3.813,4.508499
7,2.145333,6.3825
8,2.112334,5.334333
9,6.031666,3.072625
10,1.81775,5.336
11,1.152084,6.421416
12,2.245041,6.664916
13,3.322792,6.182875
14,2.077624,5.759083
15,2.509458,5.865124
16,2.728459,6.038125
17,2.290875,7.616708
18,2.380291,7.06025
19,4.899667,4.082125
20,2.079542,4.043
21,2.234041,4.393458
22,2.272375,5.227416
23,1.899625,7.110499
24,2.199792,7.01125
25,2.737917,5.924791
26,3.472791,4.894125
27,2.318667,5.722541
28,2.170375,7.1535
29,2.624125,6.91025
30,2.611833,5.885375
31,3.958417,4.58625
32,2.035667,5.843749
33,2.362916,5.148541
34,3.246375,7.314999
35,2.476459,7.695125
36,2.221416,7.876708
37,4.8685,3.637916
38,3.356,2.304583
39,3.226459,4.293166
40,2.303958,5.021083
41,2.314958,5.778499
42,3.26575,5.123541
43,2.037375,6.564166
44,2.847625,6.022499
45,2.229209,6.194874
46,2.842,5.945125
47,2.642291,6.6105
48,2.354584,6.787083
49,2.550833,6.726791
50,3.370042,5.80475
51,2.460125,5.784749
52,2.175375,7.816666
53,2.634291,6.890833
54,2.712625,6.662749
55,3.849042,5.142791
56,2.306958,5.217583
57,2.320167,4.297333
58,2.400333,5.820166
59,2.058374,6.076875
60,3.057,7.458833
61,2.519084,7.144208
62,2.163291,8.006333
63,4.547375,5.717083
64,2.186917,5.656708
65,2.885708,6.775916
66,2.730667,7.126333
67,2.10275,7.29425
68,3.693417,5.772416
69,2.945125,4.831749
70,2.168333,5.462916
71,1.866542,6.707249
72,2.736333,7.620541
73,2.384292,6.856916
74,2.968083,6.442208
75,3.614125,5.437375
76,2.388667,5.203749
77,2.261458,5.412749
78,2.779708,6.384124
79,1.8505,6.40675
80,3.632709,4.653958
81,2.26925,5.550583
82,2.121875,4.114
83,2.666708,4.431
84,2.473458,2.834666
85,3.813792,4.378124
86,3.356083,5.645375
87,2.500209,5.067124
88,2.646,5.121708
89,3.194041,5.928
90,2.187542,6.657458
91,1.808458,7.692374
92,4.641875,5.130666
93,2.393292,6.10225
94,2.382167,6.249999
95,2.953416,6.348458
96,2.8825,5.535249
97,2.513459,6.848999
98,2.715666,6.499249
99,2.275959,6.109708
100,3.632208,5.400875
101,2.218208,5.767
102,2.43775,5.898125
103,2.469125,6.986499
104,2.384042,6.934624
105,3.093,6.923374
106,3.152917,6.374125
107,2.681208,6.779749
108,3.339208,5.984541
109,3.236375,6.644208
110,2.214334,7.067875
111,3.395333,4.19125
112,2.628167,4.603749
113,2.372708,4.487166
114,2.096458,6.801458
115,2.224125,8.1215
116,4.74975,6.466708
117,1.858084,7.056875
118,3.123916,5.897958
119,3.182834,5.578083
120,2.3585,5.403458
121,2.442083,6.653833
122,2.647125,5.892708
123,2.057042,5.02375
124,3.629333,4.353333
125,1.991375,5.714833
126,1.7785,5.867541
127,5.610708,3.750041
128,2.069084,4.251249
129,2.061916,5.108124
130,1.860292,5.596166
131,2.634708,4.539416
132,2.91975,5.187333
133,1.998667,7.168874
134,2.736958,6.985791
135,2.712875,5.211874
136,3.691042,3.61175
137,3.953417,5.062249
138,1.792458,5.730999
139,2.315208,5.7645
140,3.059792,6.920791
141,2.352,6.771499
142,2.649833,6.290999
143,3.47825,5.111
144,2.189292,6.975875
145,3.052375,6.288875
146,1.97625,6.38525
147,3.591542,4.790291
148,2.352291,4.290083
149,1.983084,4.606625
150,1.768708,5.845
151,4.356667,5.46
152,2.079457,4.992624
153,2.304042,5.357208
154,3.497583,3.753999
155,2.236333,4.063791
156,2.162875,5.452499
157,4.209584,4.706999
158,1.891333,6.780624
159,1.399917,8.067
160,3.473791,6.77525
161,3.44425,5.8615
162,2.623125,5.717625
163,3.124042,5.080249
164,2.026333,7.103374
165,2.022749,7.047625
166,3.348042,5.269374
167,3.13975,5.570125
168,1.975208,6.783124
169,3.694042,5.551958
170,1.656583,7.422708
171,2.862209,6.356999
172,2.711333,5.816833
173,3.403125,5.148999
174,2.187375,6.172583
175,2.216833,7.867375
176,2.496042,7.047499
177,3.00525,6.184166
178,3.715458,4.693208
179,2.186542,5.0805
180,2.000667,5.241333
181,2.424583,7.024916
182,3.011333,6.683625
183,2.109125,7.457499
184,4.652625,4.972541
185,2.065958,4.509541
186,2.482,4.100999
187,2.373208,5.935
188,1.846833,4.776249
189,6.145917,3.709999
190,2.076417,4.188999
191,1.8835,3.886041
192,2.360625,3.699416
193,2.189958,5.987624
194,1.463333,5.908999
195,6.248792,3.550875
196,1.754833,4.640374
197,1.127334,5.201124
198,2.592958,5.526
199,2.423292,5.076708
200,2.148,6.806749
201,2.547083,6.402916
202,3.357958,5.014874
203,2.518917,5.142416
204,2.115125,4.605124
205,2.280667,4.545833
206,2.14725,4.975333
207,3.472,6.763124
208,1.97825,8.183499
209,3.677916,6.758541
210,3.253917,5.590541
211,3.220875,4.330666
212,2.108167,5.107208
213,2.192708,7.37375
214,3.836833,6.500291
