frame,cpu_ms,gpu_ms
0,3.019375,8.785999
1,3.229416,8.899333
2,2.900125,9.207749
3,4.480125,7.886416
4,3.210750,7.245125
5,3.006792,8.612291
6,3.238333,8.397125
7,2.789000,9.003666
8,4.504209,7.371500
9,3.044166,7.497124
10,3.328875,8.406833
11,3.047542,8.626583
12,3.037750,8.173541
13,4.398792,6.504791
14,3.279458,7.254750
15,3.060292,8.573333
16,2.926208,8.481999
17,3.212750,8.702666
18,4.300958,7.495041
19,3.141542,8.265041
20,3.270750,8.371375
21,2.998292,8.619083
22,4.417708,7.238333
23,2.796125,7.499666
24,3.173083,7.579833
25,3.302667,7.961250
26,2.984542,8.774041
27,3.112291,8.965500
28,4.337000,7.319124
29,3.293209,7.863249
30,3.168541,9.207958
31,2.969250,9.220833
32,3.284000,8.736583
33,4.428084,7.629375
34,3.348083,8.250624
35,2.885208,8.683208
36,3.187667,8.875583
37,4.278958,6.677874
38,3.142459,7.535916
39,3.275375,8.471624
40,2.929166,9.042624
41,3.273292,9.271375
42,4.229000,7.649916
43,3.397000,7.393499
44,3.113292,8.813791
45,2.911541,9.159124
46,3.265417,8.532208
47,4.457625,6.829000
48,3.272125,7.292874
49,2.920792,8.688791
50,3.115541,9.370249
51,3.291375,8.925250
52,4.289084,7.717250
53,3.359916,7.343624
54,2.800167,8.891250
55,3.250750,8.906958
56,3.266875,8.596125
57,4.221500,6.681416
58,3.379708,6.992249
59,2.886084,8.623416
60,3.207333,8.748333
61,2.906417,8.893750
62,4.338458,7.892208
63,3.402292,6.201208
64,3.210041,8.237749
65,3.043875,8.440458
66,2.844959,8.633374
67,4.472125,7.575624
68,2.975000,7.569000
69,3.122541,8.786624
70,3.291209,8.552624
71,2.957916,8.740083
72,4.536334,7.633958
73,2.897708,7.584999
74,3.271083,8.937541
75,3.247625,7.925333
76,2.918625,8.250375
77,4.554709,7.452708
78,2.872083,7.580250
79,3.377625,8.688708
80,2.946833,8.881749
81,3.183042,8.717500
82,8.532667,4.658666
83,2.262708,6.800166
84,1.143125,8.506166
85,3.699000,8.249125
86,3.290875,8.323833
87,2.726333,8.607833
88,3.302250,8.609625
89,3.276875,9.507375
90,3.018000,10.105625
91,3.269334,9.799750
92,4.529291,8.437999
93,3.277334,9.373166
94,2.916958,9.557000
95,3.230458,9.618291
96,4.405917,8.299291
97,3.091000,8.304166
98,3.322750,8.108250
99,3.343333,7.615541
100,3.349209,7.725250
101,4.197000,7.838000
102,3.317875,7.758708
103,3.226875,9.002999
104,3.176291,8.906875
105,3.272375,9.455500
106,4.418375,8.343999
107,3.369250,7.810625
108,3.162500,9.107124
109,3.256125,9.091750
110,3.287292,8.781833
111,4.384708,7.959000
