frame,cpu_ms,gpu_ms
0,27.604209,54.659291
1,27.286375,53.76975
2,28.472791,52.540999
3,29.204292,53.084041
4,27.589667,48.405374
5,33.853375,52.247249
6,22.166666,52.377625
7,27.937334,52.634791
8,27.263791,52.053541
9,27.976,51.864375
10,27.834917,52.204416
11,27.086417,52.144458
12,27.814916,51.481624
13,27.524,51.937333
14,27.754084,52.457208
15,26.969166,52.660541
16,28.04075,52.233624
17,27.690125,51.900166
18,28.001125,52.176874
19,27.316667,51.935291
20,27.326167,51.958666
21,28.05025,51.614874
22,26.946791,52.664875
23,28.026417,52.330249
24,26.96175,51.867333
25,28.583625,51.15475
26,26.950167,50.577
27,27.708166,52.145624
28,26.21175,52.161791
29,27.406125,52.254499
30,27.731417,52.385583
31,27.409917,51.636208
32,28.674916,51.611999
33,27.100209,51.2585
34,27.546583,51.3165
35,27.3755,52.06675
36,26.925708,52.617499
37,27.58325,53.232458
38,27.789125,53.902499
39,27.680959,52.87675
40,28.479791,51.992749
41,28.43275,52.637124
42,27.330584,50.462166
43,27.506083,50.008791
44,27.836042,52.202083
45,25.300833,51.824999
46,27.827958,51.82525
47,27.32725,51.824333
48,27.333042,51.682541
49,27.514958,52.017291
50,27.289917,51.282875
51,27.8205,51.260666
52,27.592583,51.663333
53,27.153917,51.431249
54,27.2805,51.244041
55,27.8455,51.671624
56,26.641625,52.005124
57,27.411167,52.182749
58,27.861833,51.580541
59,27.184958,51.357625
60,27.878584,50.476916
61,27.321333,50.660583
62,27.193833,51.225541
63,26.423875,51.686874
64,27.220042,50.979708
65,27.653125,51.9055
66,26.990583,52.396374
67,26.541292,51.451833
68,28.63425,51.820374
69,26.87175,51.448291
70,27.382042,51.566624
71,27.248916,51.425291
72,27.540084,51.744541
73,27.085166,51.64725
74,27.149334,50.957125
75,27.564333,51.512749
76,27.330625,52.353708
77,26.547458,52.038083
78,28.141042,50.916249
79,28.638458,51.851875
80,26.653542,50.933541
81,27.63125,51.040916
82,27.318125,51.947374
83,26.853792,50.848625
84,27.255333,51.822375
85,27.790625,54.736791
86,26.021,53.450874
87,28.9765,51.254958
88,28.90475,52.654874
89,27.620875,53.43525
90,26.75325,52.936166
91,28.814792,54.8625
92,27.857291,53.885375
93,28.234875,53.438666
94,29.607792,55.634791
95,27.371667,54.759999
96,29.4995,53.597083
97,29.452333,52.482583
98,28.394083,53.282166
99,28.393959,53.801916
100,27.290083,53.825583
101,29.0585,53.331166
102,28.475792,53.962124
103,28.761916,53.914958
104,28.020667,53.469875
105,29.08425,53.994666
106,28.402167,54.989625
107,28.147875,54.260958
108,28.752541,53.453791
109,29.11775,53.607916
110,29.4795,54.153708
111,27.168459,53.044375
112,29.192458,53.252124
113,28.293625,54.352083
114,27.6495,54.78775
115,28.86275,53.997583
116,28.477667,54.20375
117,29.1615,53.905374
118,27.980916,53.975749
119,29.139375,53.920999
120,28.1795,51.990375
121,28.601542,52.437833
122,28.327417,54.2455
123,27.180583,53.903041
124,28.711292,52.945749
125,28.411291,52.147416
126,28.644459,53.848958
127,27.2355,52.463875
128,27.908958,52.582875
129,28.93375,53.796416
130,26.753167,53.652624
131,28.8785,53.326583
132,28.075833,53.230874
133,28.61175,51.844874
134,27.932125,52.528458
135,28.545625,54.574458
136,26.020042,53.919999
137,29.211375,52.978166
138,28.504041,52.753375
139,28.262167,52.171749
140,27.664875,53.508999
141,28.114458,53.797125
142,27.323834,52.385749
143,29.457291,53.924208
144,27.771375,54.298541
145,27.838875,52.374374
146,29.59375,52.368
147,27.833625,53.500125
148,27.651709,53.67775
149,27.944208,53.912791
150,28.651,54.643708
151,28.598375,54.210666
152,28.383792,53.5415
153,29.457833,53.184124
154,28.028667,52.958833
155,28.730375,53.301624
156,28.068458,54.178124
157,27.891792,52.664124
158,28.371916,51.686499
159,28.764959,53.665666
160,27.217375,52.549
161,27.881166,52.195374
162,28.727542,53.39675
163,26.8965,53.145374
164,28.451333,53.680208
165,28.535167,54.150333
166,27.871,53.960249
167,28.944042,55.611666
168,28.229791,55.885499
169,29.319709,54.853583
170,29.434208,51.900833
171,29.6275,53.47575
172,28.293167,54.954624
173,27.115625,54.631041
174,29.138,54.687208
175,29.01175,54.496249
176,29.085541,55.005416
177,28.498917,51.873291
178,29.330333,53.400125
179,28.701459,53.901291
180,27.343541,52.897583
181,28.96075,55.190708
182,28.053625,56.028499
183,28.212542,56.428374
184,29.748375,54.860041
185,30.638875,54.0805
186,28.940583,53.070374
187,29.179,53.807749
188,28.123834,52.013083
189,28.213958,52.631875
190,28.788417,53.971333
191,27.280291,54.057166
192,28.470875,53.81025
193,28.685334,53.940708
194,28.602333,54.735375
195,28.704125,53.884208
196,28.109792,53.27075
197,29.449458,53.541874
198,27.248708,54.408416
199,29.116709,55.673624
200,28.123958,54.037875
201,29.352042,53.985166
202,29.7015,56.984625
203,27.535791,57.942208
204,29.837542,58.949416
205,30.276042,58.339999
206,31.250166,58.312749
207,30.818792,58.053375
208,30.264917,57.391999
209,30.803083,58.029
210,30.188917,57.889875
211,30.822041,57.701374
212,30.533959,57.2125
213,30.420166,56.218041
214,30.188834,55.145499
215,30.340208,54.767625
216,29.256417,56.277333
217,28.739458,56.621041
218,29.359875,55.443083
219,29.966,55.517
220,29.686542,54.452416
221,28.951333,54.806208
222,29.360125,54.431749
223,28.529333,55.232499
224,29.333792,55.663625
225,28.434,55.816416
226,29.759208,56.149958
227,28.944584,54.45325
228,30.32325,54.251416
229,29.085833,55.210374
230,28.243708,56.901916
231,29.269375,56.173708
232,29.352209,55.212333
233,30.446875,55.807416
234,29.309875,53.308374
235,28.958666,55.385874
236,29.833875,56.356375
237,27.5235,53.979375
238,31.149625,51.095333
239,32.358584,56.491625
240,24.576458,55.771083
241,29.139583,54.380416
242,30.374709,55.471624
243,28.509958,57.50575
244,28.918417,56.72075
245,30.1265,54.123
246,31.174583,55.014458
