frame,cpu_ms,gpu_ms
0,30.624959,86.525208
1,30.610583,85.912750
2,30.121000,86.644249
3,30.201500,86.318749
4,30.084458,86.441166
5,30.543084,86.011000
6,30.246250,86.215708
7,30.006458,86.665374
8,30.049583,86.644916
9,30.455292,86.390624
10,30.556000,86.335041
11,30.278417,86.413125
12,30.247458,86.518166
13,30.200500,86.371583
14,30.441500,85.786125
15,30.522208,85.766625
16,29.877417,86.096250
17,30.004292,86.282916
18,30.124750,85.964874
19,30.320583,85.717124
20,30.152333,85.413208
21,29.806792,85.931291
22,29.965542,85.786125
23,30.289125,85.567625
24,30.007708,85.600958
25,29.877833,85.547583
26,29.888959,85.594916
27,30.359458,85.423500
28,29.815333,85.623916
29,29.777000,86.150124
30,29.985167,85.748250
31,30.285292,85.672124
32,30.106250,86.319416
33,31.512833,82.462499
34,28.411250,89.465791
35,30.863042,87.229499
36,30.376250,87.153124
37,30.638833,87.594458
38,30.384250,87.646916
39,30.431208,87.433833
40,30.827417,87.108916
41,30.614875,86.331416
42,30.397625,86.066000
43,30.284875,86.939208
44,30.155708,86.755249
45,30.573209,84.025916
46,30.223250,85.073041
47,30.180625,85.354999
48,28.804833,86.728958
49,30.665125,86.025083
50,30.300375,86.143624
51,30.210292,86.185749
52,30.142250,85.905833
53,30.127166,85.458083
54,30.213709,85.580333
55,29.992625,86.020958
56,30.029416,85.864666
57,29.990875,86.158041
58,30.337625,85.983249
59,30.105917,86.458416
60,29.979542,86.306041
61,30.189208,86.109958
62,30.531750,85.891875
63,30.135500,86.705041
64,29.878750,89.816083
65,30.228083,92.597500
66,30.842917,94.530374
67,31.883417,95.260875
68,32.195749,95.405124
69,32.736291,94.067374
70,32.261375,93.337125
71,32.014500,92.162958
72,31.959375,90.028833
73,31.685417,88.762208
74,31.292625,88.307250
75,31.216167,87.375416
76,30.819958,86.877249
77,30.652250,87.136624
78,30.307375,86.541083
79,30.263167,86.568125
80,30.402666,85.792374
81,30.305542,85.655124
82,29.836208,86.235208
83,29.844167,86.315791
84,30.116458,86.424083
85,30.274917,86.224499
86,30.059375,86.798458
87,30.022875,86.550874
88,30.220958,86.182583
89,30.502709,85.654416
90,29.943500,86.139874
91,30.038708,86.192375
92,29.917250,86.401916
93,30.477292,85.685791
94,30.012875,86.150625
95,29.967791,86.095541
96,30.033250,86.050583
97,30.209000,85.619250
98,29.971500,86.295208
99,29.886459,86.130124
100,30.017625,86.378416
101,30.382500,85.982833
102,30.253000,81.061624
103,29.668458,89.904749
104,30.216375,88.097875
105,30.716750,88.064083
106,30.756750,86.667874
107,30.718125,87.351208
108,30.586375,84.950166
109,30.487292,85.967041
110,30.503125,85.410625
111,29.515791,85.866124
112,30.250709,86.147874
113,29.917500,86.211749
114,30.070583,85.704375
115,30.457958,85.413624
116,29.938792,85.798374
117,29.774708,85.674999
118,29.956959,85.361375
119,30.200291,85.209083
120,29.798334,85.605708
121,29.885250,85.999833
122,29.830416,86.577125
123,30.283459,86.188166
124,30.270625,86.570375
125,30.135833,88.104958
126,30.283583,89.216583
127,30.581459,93.686749
128,31.732750,93.729666
129,32.069916,92.478791
130,32.405209,91.686500
131,32.421625,91.603208
132,32.005499,90.979083
