frame,cpu_ms,gpu_ms
0,24.388125,68.578041
1,24.284791,68.500500
2,24.302834,68.803375
3,24.209125,68.978416
4,24.634208,68.530041
5,24.371292,69.669916
6,24.662958,69.966749
7,24.875417,70.030624
8,24.605833,69.785124
9,24.966792,69.694624
10,24.801708,69.450458
11,24.640958,69.374875
12,24.709500,68.788458
13,24.631834,68.829374
14,24.408000,68.846500
15,24.400083,69.009416
16,24.427833,68.919833
17,24.401584,68.956499
18,24.442375,69.042291
19,24.490750,69.433458
20,24.481666,66.166999
21,24.495334,68.980499
22,24.599416,69.132416
23,24.574875,68.774500
24,24.429000,69.000625
25,24.873542,67.567166
26,23.864833,69.466750
27,24.659500,69.325000
28,24.503292,69.259374
29,24.658125,69.175458
30,24.368458,69.137750
31,24.625625,68.977291
32,24.635584,68.950374
33,24.234000,69.105500
34,24.401083,69.072791
35,24.522750,69.228833
36,24.580958,68.209625
37,24.442875,69.205791
38,24.734750,68.843499
39,24.463250,68.748124
40,24.486250,68.888125
41,24.323000,68.781750
42,24.470209,68.929166
43,24.315541,69.086208
44,24.457167,68.861958
45,24.506583,68.806583
46,24.445125,69.013624
47,24.519750,68.907374
48,24.392084,68.898124
49,24.442791,68.916583
50,24.432750,68.838958
51,24.457000,68.932791
52,24.380125,69.069875
53,24.411042,69.228958
54,24.453375,69.592625
55,24.691333,69.594500
56,24.642834,69.579708
57,24.630750,70.135000
58,24.875041,70.025333
59,24.549125,71.725291
60,25.403084,71.200500
61,25.140541,71.577291
62,25.447084,71.905083
63,25.112208,71.766625
64,25.532667,71.274208
65,25.646791,70.801750
66,25.070375,70.596416
67,25.242250,70.424375
68,25.092209,70.317375
69,24.783416,70.237000
70,24.991375,70.318249
71,25.081667,69.947125
72,24.849792,69.875166
73,24.919625,69.446249
74,24.473208,69.531625
75,24.920292,68.759375
76,24.333000,68.933541
77,24.670958,68.311249
78,24.377917,68.484250
79,24.395333,68.325416
80,24.290042,68.861500
81,24.254666,69.200666
82,24.364709,70.285250
83,24.594166,70.281666
84,24.736584,69.038499
85,24.871875,69.926083
86,25.106958,70.899041
87,23.876458,73.673541
88,26.044375,73.896208
89,26.204292,73.899833
90,25.999083,74.215416
91,26.252209,73.548874
92,26.290541,73.117416
93,26.115709,72.859333
94,25.636916,72.691750
95,25.596209,73.154416
96,25.882250,74.373916
97,25.685250,73.176875
98,25.723083,70.188333
99,25.357208,70.027750
100,24.674500,70.787749
101,24.662000,73.797499
102,25.150209,72.834999
103,25.511166,72.020999
104,25.322667,71.025166
105,25.344083,71.041999
106,24.987000,70.764499
107,25.222167,70.522666
108,25.189375,69.828249
109,24.852083,69.839500
110,24.838417,69.624125
111,24.711333,69.183666
112,24.737959,68.634624
113,24.517583,68.713124
114,24.348125,68.774416
115,24.383250,67.022500
116,24.309583,66.578499
