frame,cpu_ms,gpu_ms
0,3.528666,9.288
1,3.776959,9.932875
2,3.695791,9.557374
3,3.732834,9.539999
4,4.489541,8.869
5,3.764375,11.163374
6,3.706167,11.225125
7,3.736333,10.697124
8,6.064959,7.767374
9,4.119791,8.791125
10,3.449167,9.158874
11,3.451458,9.254875
12,4.31075,8.623
13,3.724917,10.1445
14,3.497667,10.882958
15,3.603833,11.053083
16,5.416292,8.673416
17,3.759541,8.89625
18,3.756292,9.160124
19,3.138792,9.150375
20,4.320375,8.571666
21,3.712708,7.503416
22,3.074917,9.124333
23,3.654625,8.598875
24,2.915916,9.554041
25,4.537834,8.278249
26,3.487875,8.969916
27,3.2555,10.875083
28,3.305208,10.967625
29,4.323167,9.706374
30,4.918041,7.612916
31,3.497625,8.129541
32,3.106,9.404125
33,2.750875,10.493791
34,3.895459,10.450875
35,4.137165,10.506624
36,3.670625,11.560291
37,4.125834,11.100374
38,5.257,8.826833
39,3.542458,9.150875
40,3.710583,9.37025
41,3.301709,9.792125
42,4.812583,9.90425
43,3.697542,9.954541
44,3.782291,10.216749
45,3.616584,11.265333
46,3.836708,12.076583
47,5.160042,11.031958
48,3.719958,12.646791
49,5.350708,10.392208
50,4.28,11.560333
51,5.175,11.148291
52,3.703834,11.281666
53,4.323875,11.102291
54,5.199,9.804416
55,4.668458,12.588749
56,3.432333,13.504749
57,4.271542,13.280874
58,7.017583,10.478333
59,4.322375,12.051791
60,3.743542,12.44475
61,5.010083,10.864624
62,4.925834,11.899749
63,4.6085,11.758333
64,3.768916,11.547249
65,5.77225,10.943666
66,4.391542,13.500249
67,3.980708,14.201374
68,5.3915,12.221249
69,6.745125,10.403541
70,4.016959,14.61775
71,3.693583,15.161333
72,5.056833,14.913
73,7.958084,12.254916
74,3.789958,13.531458
75,4.989792,12.717416
76,6.273125,11.918125
77,4.020416,12.962249
78,4.628875,12.835333
79,5.109667,12.806666
80,4.946083,14.119875
81,4.768709,13.8685
82,5.133208,14.422541
83,6.296292,12.496208
84,4.679208,12.020708
85,5.585292,11.702916
86,4.43025,11.915708
87,3.988625,12.168583
88,5.539458,11.953916
89,4.495792,12.997708
90,4.040208,13.011125
91,5.456875,11.443041
92,5.533917,11.418208
93,4.660541,11.171749
94,3.734167,10.722625
95,5.411833,9.850666
96,5.225084,9.274541
97,3.352583,11.477375
98,3.205542,12.173249
99,5.116791,10.482124
100,4.611334,10.325124
101,3.83475,13.430499
102,3.57425,14.035416
103,5.824833,11.224875
104,5.85525,12.086499
105,3.760458,11.945624
106,3.766542,13.278499
107,6.352,14.037958
108,4.251083,15.785791
109,4.583209,16.173125
110,7.380875,12.994375
111,5.912708,15.603291
112,4.916917,15.880749
113,5.350416,18.57425
114,7.317209,21.505583
115,4.94075,22.753166
116,10.679333,20.029416
117,7.85925,28.629458
118,7.349708,32.271625
119,10.235167,33.674499
120,13.740792,29.20125
121,10.104583,27.969125
122,13.866208,32.442541
123,8.762167,26.797374
124,10.39975,36.759541
125,18.997292,31.881833
126,4.389041,33.809125
127,16.700792,30.326375
128,14.107125,27.065624
129,8.572625,31.494333
130,12.617042,25.709458
131,12.037,25.484416
132,12.078916,24.529333
133,4.989459,27.254541
134,12.854375,21.180291
135,9.877041,20.579458
136,7.816875,20.341874
137,8.336084,18.347458
138,8.854458,18.005
139,6.163625,16.957291
140,6.746125,20.887249
141,7.841583,21.612124
142,6.288,25.009374
143,11.76725,21.957749
144,6.25175,27.730166
145,11.1435,21.3925
146,7.361625,25.139749
147,11.784459,22.704416
148,4.942958,28.477458
149,11.685333,24.631374
150,9.295042,23.185375
151,9.803292,26.499875
152,8.849083,24.619124
153,7.722542,25.375375
154,13.839166,19.970625
155,6.006667,20.993874
156,8.963,17.177124
157,7.928,15.188
158,6.047583,17.966874
159,5.050792,19.208916
160,7.435667,18.635416
161,8.056915,15.199499
162,7.269542,13.49375
163,4.917417,14.3385
164,6.1085,15.638625
165,4.900708,15.08575
166,5.03825,13.568875
167,7.306875,12.28675
168,4.933625,12.186624
169,4.592417,12.10625
170,5.349666,11.813125
171,4.956709,11.669749
172,3.996208,11.621291
173,4.934417,10.660499
174,4.628583,12.648708
175,4.303417,12.848
176,3.721208,12.870333
177,6.570708,9.888291
178,5.077209,8.631166
179,3.597583,10.549083
180,3.699125,10.573124
181,3.682208,11.526833
182,5.091292,10.607625
183,3.710458,11.954666
184,4.869334,10.737583
185,4.299791,11.026958
186,4.837167,9.851583
187,3.712333,10.111833
188,4.815417,9.130749
189,3.783917,9.577458
190,3.557458,9.489999
191,3.694583,10.0625
192,4.703,9.130625
193,3.835959,10.830666
194,3.508625,10.915958
195,3.704791,11.402125
196,6.0355,8.827208
197,3.785125,8.978833
198,3.74675,9.364374
199,3.46725,9.249041
200,4.046624,8.78775
201,3.807,9.251291
202,3.51525,10.74525
203,3.686667,10.421458
204,4,10.297375
205,4.99575,8.050875
206,3.499833,8.336624
207,3.6865,9.1345
208,3.107584,9.485124
209,3.634666,9.501333
210,4.44275,7.891249
211,3.456417,9.515416
212,3.423625,9.234583
213,3.04775,11.270416
214,4.878458,9.632249
215,3.026042,11.727833
216,4.951,10.193791
217,3.178042,10.899083
218,5.912875,8.203541
219,2.7595,10.446999
220,3.673416,9.826208
221,3.023167,10.585458
222,5.013292,8.033958
223,3.251125,11.095624
224,3.747791,12.831999
225,3.758375,13.362833
226,6.269417,10.662874
227,4.762208,11.105749
228,4.069,12.009499
229,3.721,11.250083
230,4.862959,10.816666
231,4.786416,12.474916
232,3.977,12.946458
233,3.858542,11.164416
234,6.090833,12.688791
235,4.453292,13.573999
236,4.081082,14.37975
237,6.751084,10.285833
238,4.935625,10.909999
239,3.993208,12.485
240,3.748167,12.469708
241,5.921208,12.413416
242,4.907792,13.237874
243,3.667291,13.703333
244,5.7625,12.428833
245,6.191667,11.183958
246,3.8105,12.889375
247,3.826958,12.760375
248,4.889917,12.248291
249,5.503792,11.9715
250,3.868208,12.266208
251,5.690833,9.778041
252,4.1755,12.340833
253,3.829542,12.429374
254,5.568042,10.501833
255,5.450625,10.412625
256,3.809083,10.6485
257,3.718083,11.310166
258,5.750042,10.868624
259,3.778292,12.169499
260,3.747208,12.015875
261,5.246375,10.602291
262,5.812125,7.509125
263,3.554458,9.536458
264,3.663084,10.04225
265,3.277916,10.412291
266,5.046,9.356166
267,3.763292,10.598333
268,3.750583,9.882125
269,3.826209,10.701125
270,4.91875,10.0975
271,3.356,11.383875
272,4.903,10.517499
273,3.938291,10.091416
274,4.91175,8.346874
275,3.632,9.919166
276,3.562667,9.911749
277,3.423542,10.111124
278,4.885958,7.894916
279,3.592333,9.936499
280,3.709167,10.385875
281,3.172792,10.937708
282,5.757,8.923374
283,3.8645,8.596333
284,3.660708,8.552833
285,3.669458,9.352208
286,3.216959,9.212166
287,4.430041,8.214749
288,3.724584,8.227583
289,3.065791,8.710124
290,3.634875,8.7315
291,4.021416,8.513083
292,3.687333,7.577
293,3.160209,10.859958
294,3.57425,10.602833
295,2.945708,11.015874
296,6.533458,8.809833
297,3.415375,9.589374
298,3.406834,9.935333
299,4.429666,8.8775
300,3.677959,8.715583
301,3.364666,11.24025
302,3.365542,11.558874
303,3.682542,11.639749
304,5.68725,9.544375
305,3.748166,8.028166
306,3.603709,10.669208
307,3.376625,11.0555
308,4.82925,9.860749
309,3.808,9.611208
310,3.648333,10.743041
311,3.582167,11.118291
312,4.898458,9.967499
313,3.76325,11.901874
314,3.680083,11.921374
315,3.726792,12.996249
316,5.798917,10.339375
317,3.891708,11.209624
318,5.435375,9.723666
319,4.100958,12.7115
320,4.203584,13.138833
321,4.534583,13.989958
322,6.26825,12.154291
323,5.251417,12.911
324,5.914291,10.92725
325,3.673,12.625125
326,4.722542,12.005499
327,5.3055,11.126166
328,4.509375,11.30625
329,4.243958,11.579375
330,4.423417,12.013999
331,4.579292,14.656416
332,4.7835,13.610749
333,4.584208,13.906958
334,7.359042,10.729499
335,4.358791,11.185875
336,4.179792,11.190999
337,3.820333,11.34275
338,5.524584,12.807041
339,4.101708,12.628749
340,4.239292,12.241874
341,6.906083,10.035375
342,3.860917,11.493999
343,4.173166,10.570958
344,3.882375,11.262291
345,5.705042,10.506583
346,3.992333,10.586666
347,3.784667,10.667749
348,5.349042,10.657
349,3.898458,12.550333
350,3.622958,13.252666
351,5.369,11.904624
352,6.062375,10.185083
353,4.036417,10.222333
354,3.699708,11.093124
355,4.067999,10.999625
356,5.001917,11.254666
357,4.053708,12.729666
358,3.699209,13.147833
359,5.418041,11.057125
360,6.069209,10.295625
361,3.784541,10.709624
362,3.776959,10.683249
363,5.046125,9.60075
364,4.17975,10.411749
365,3.674916,10.599625
366,3.714834,11.960999
367,5.277208,10.593249
368,3.6885,11.860749
369,5.337958,10.549125
370,3.905625,10.30225
371,5.069,8.722291
372,3.77375,10.210291
373,3.451209,10.539624
374,3.710916,10.223083
375,5.052042,9.024833
376,3.6995,11.779916
377,3.5185,11.954624
378,3.704917,12.205
379,6.43425,10.715624
380,3.757666,10.324375
381,3.702209,10.411791
382,4.832916,9.520333
383,3.500792,9.815125
384,3.755417,11.054166
385,3.669875,11.186124
386,3.795541,8.352875
387,4.983667,9.902999
388,3.689625,13.182374
389,3.701917,13.700583
390,3.794416,12.256999
391,7.198834,10.694458
392,3.925541,11.944625
393,3.795,11.53975
394,5.630167,11.936999
395,3.931875,12.998958
396,4.462042,13.008208
397,5.385541,11.828624
398,5.086542,13.302791
399,5.71925,11.538833
400,4.117874,12.458999
401,6.165833,10.830083
402,4.181041,12.573499
403,4.679417,13.93925
404,4.512333,13.093166
405,5.824,14.904666
406,4.907583,14.746749
407,6.00525,12.802708
408,6.529417,12.319791
409,4.583667,13.030875
410,4.489916,15.148958
411,5.739667,13.75
412,4.908208,15.686833
413,6.541834,11.497874
414,4.528708,14.778999
415,6.10575,13.443375
416,4.583417,13.127125
417,6.348208,11.953499
418,4.715542,12.102958
419,4.424541,12.312875
420,4.525167,12.823208
421,5.770042,13.968791
422,3.997375,14.069791
423,4.969916,14.184875
424,7.435209,10.635875
425,4.097875,11.637333
426,4.761875,10.850291
427,4.43375,12.9345
428,4.895416,13.65125
429,4.182959,13.496125
430,6.008333,11.227291
431,6.061542,11.24025
432,3.611583,11.668374
433,3.740958,11.631416
434,5.841375,11.174749
435,4.076291,11.572125
436,3.703958,11.298541
437,6.130542,10.513999
438,3.778042,11.049624
439,3.77425,11.837749
440,5.046875,10.502125
441,4.5495,9.925833
442,4.923208,10.292125
443,3.744,10.799666
444,3.701708,10.239874
445,5.11125,11.074499
446,4.058917,11.891708
447,3.701208,12.1155
448,5.352875,10.307375
449,5.072875,10.635999
450,3.684834,10.670875
451,3.742291,10.919416
452,5.178625,9.142208
453,3.818542,10.330291
454,3.66475,10.900166
455,3.544375,11.101249
456,5.159333,10.101374
457,3.7815,11.468749
458,3.71625,11.422874
459,5.207917,11.867125
460,4.069833,10.423125
461,4.177167,10.929374
462,4.859,11.69375
463,3.995083,13.579249
464,3.815709,12.697833
465,5.741583,12.62425
466,5.311792,12.495249
467,4.592708,12.826375
468,5.795333,11.467625
469,3.907875,14.084625
470,4.460459,14.287166
471,6.580166,11.742333
472,4.4515,13.266583
473,4.521334,13.740916
474,5.916125,14.051625
475,4.920333,12.612999
476,4.507833,15.754749
477,6.032167,14.361124
478,5.223875,13.987125
479,6.027458,14.13725
480,4.682459,15.472124
481,6.394958,15.096875
482,4.528208,16.690791
483,7.199125,14.706374
484,6.315459,14.649249
485,5.010125,12.417874
486,4.861291,14.392749
487,6.533792,11.167124
488,4.768875,13.482083
489,4.534625,15.632416
490,4.962583,16.880625
491,6.14375,13.741333
492,6.265292,13.354791
493,6.37975,13.310958
494,4.853708,13.357208
495,4.637542,14.777541
496,5.952083,13.352166
497,4.6625,14.036125
498,6.300625,12.577999
499,5.583875,11.454583
