frame,cpu_ms,gpu_ms
0,2.613667,5.479666
1,2.261666,5.609333
2,3.01775,7.444249
3,2.202917,7.701375
4,3.03525,6.077625
5,3.989458,5.494041
6,2.736125,5.664833
7,2.433084,5.676166
8,2.725,7.520999
9,3.030041,7.319958
10,2.28975,6.037374
11,5.260084,7.014249
12,1.716333,8.064083
13,2.494625,5.726708
14,4.705,6.591666
15,2.706042,6.99025
16,2.788666,5.817208
17,3.353375,5.890124
18,2.4905,5.850875
19,2.642625,6.59725
20,2.755334,7.27725
21,3.053375,6.560749
22,3.604833,5.824625
23,2.813833,5.616375
24,2.646334,5.632124
25,2.333375,6.87925
26,3.034541,6.494125
27,1.801542,5.82075
28,4.01925,5.716499
29,2.421583,5.856333
30,2.808334,6.414041
31,2.441208,7.738625
32,2.831958,7.167374
33,2.948917,5.849625
34,3.545333,5.834666
35,2.375584,5.727874
36,2.758375,5.69225
37,2.522583,7.02
38,2.73275,6.851625
39,2.402708,5.879958
40,3.494209,5.853874
41,2.541125,5.765125
42,2.492666,5.787041
43,2.723792,6.776875
44,2.748833,6.581375
45,2.357667,5.793458
46,3.35575,5.854499
47,2.7495,5.738374
48,2.537167,5.638125
49,2.687708,7.516124
50,2.174792,7.648
51,2.818208,7.362
52,4.092542,5.815375
53,2.652166,5.799708
54,2.758917,5.517499
55,2.752583,6.644375
56,1.812209,7.226166
57,2.555208,5.893708
58,3.928875,5.918249
59,2.69275,5.745958
60,2.665792,5.388
61,2.827166,7.43425
62,2.646542,7.316791
63,1.841917,5.9255
64,4.705125,5.681375
65,2.467458,5.809875
66,2.777375,5.5675
67,2.598667,6.679749
68,2.228041,7.237249
69,2.697375,5.922541
70,3.736292,5.769583
71,2.703375,5.318208
72,2.889333,5.093375
73,2.154917,6.727416
74,2.638417,6.400374
75,2.06429,5.933791
76,3.945709,5.658041
77,2.743875,4.271291
78,2.81775,5.096124
79,1.834416,7.962999
80,2.8485,7.310625
81,2.870334,6.573875
82,3.963791,5.784749
83,2.750209,5.591083
84,2.784416,5.459
85,2.4795,6.588916
86,2.624417,6.412249
87,2.110667,5.857749
88,3.8815,5.726166
89,2.557875,5.779208
90,2.586416,5.740458
91,2.591709,7.319999
92,2.827625,7.138458
93,2.047124,6.650749
94,4.5175,5.875958
95,2.766125,5.580374
96,2.659375,5.346458
97,2.608333,6.641541
98,2.032333,7.278
99,2.66325,5.92875
100,4.995125,4.451166
101,1.719625,5.596583
102,2.716625,5.444375
103,2.152667,7.228625
104,2.795375,7.059874
105,2.454292,5.937125
106,3.686458,5.62775
107,2.783042,5.4675
108,2.182416,5.875124
109,2.519584,7.779458
110,2.821083,7.305916
111,2.862708,6.583958
112,4.130084,5.707375
113,2.811458,5.461791
114,2.662083,6.520833
115,2.036916,7.184166
116,2.917875,5.899999
117,3.587667,5.821
118,2.83625,5.671499
119,2.530166,5.489125
120,2.679542,7.296374
121,2.649667,6.906166
122,1.870916,6.611916
123,4.597417,5.828
124,2.740333,5.580333
125,2.601542,5.383666
126,2.82975,6.502875
127,1.833708,7.221749
128,2.84975,5.945125
129,3.608167,5.823999
130,2.7215,5.683708
131,2.634083,5.503125
132,2.824167,6.717
133,1.903917,7.340458
134,2.864708,6.025
