frame,cpu_ms,gpu_ms
0,9.815917,16.876416
1,7.738,17.750249
2,9.045458,18.096499
3,7.691917,18.097416
4,9.945167,18.311916
5,8.044625,18.878041
6,9.855541,20.046916
7,8.365625,19.801958
8,10.455125,19.859916
9,9.376959,18.143916
10,10.293416,18.496958
11,9.479292,18.663166
12,8.565292,17.256375
13,35.050833,8.61525
14,3.237375,15.629749
15,1.360167,16.278041
16,7.49725,16.874499
17,8.47225,16.8645
18,7.633791,17.598833
19,9.06175,17.587708
20,7.647709,16.81
21,9.840333,16.842833
22,7.6175,16.879333
23,9.031625,17.070291
24,7.720292,18.077416
25,9.163833,17.936124
26,7.788375,18.567458
27,10.124625,18.789499
28,7.926917,17.247083
29,10.414208,17.042208
30,8.191125,17.615374
31,9.114875,19.071958
32,7.577875,16.9135
33,9.836208,17.25975
34,9.034375,17.291125
35,7.691792,15.476166
36,9.529667,17.726124
37,7.748416,19.176166
38,7.564875,16.893499
39,10.027042,17.702874
40,8.994917,17.717499
41,7.711708,16.982708
42,9.8345,16.996958
43,7.735875,17.628208
44,9.155583,17.641375
45,7.848417,16.888999
46,9.608375,16.878458
47,7.767083,16.854875
48,9.097542,16.861625
49,7.597958,17.699958
50,9.044209,17.775916
51,7.788875,17.262874
52,9.867708,17.186125
53,7.717667,17.548416
54,9.334625,17.535666
55,7.708083,16.948333
56,9.81975,18.617458
57,7.636792,17.117333
58,9.0795,15.450958
59,9.445583,17.574249
60,7.691875,17.553833
61,7.519542,16.81375
62,9.811833,18.993
63,7.638292,17.603958
64,9.061375,15.404624
65,9.967583,16.833625
66,7.458958,18.283833
67,7.723709,16.918958
68,9.07525,17.266499
69,9.251291,18.395666
70,7.467417,18.941749
71,9.745708,18.034124
72,8.604834,18.137875
73,9.883583,17.972624
74,8.143083,17.246374
75,9.894,17.384666
76,7.820834,17.356041
77,9.334875,17.097291
78,7.88475,17.646333
79,9.256333,17.683791
80,7.669875,16.861125
81,9.929917,19.300166
82,7.647458,18.063166
83,9.10875,16.195083
84,10.054458,16.998458
85,7.867709,18.555499
86,7.699958,17.172999
87,9.135,17.769499
88,9.2545,17.628416
89,7.817208,17.238333
90,9.816959,17.298916
91,7.678208,17.683416
92,9.420083,17.684666
93,7.73975,16.951208
94,9.812375,16.935208
95,7.725834,16.894708
96,9.11625,16.897999
97,7.711083,17.02975
98,9.050458,18.257708
99,7.670875,18.537124
100,9.239417,18.063208
101,10.9735,19.293374
102,7.4245,18.626375
103,8.474083,17.004499
104,10.715834,18.438583
105,7.734041,17.019583
106,9.092709,15.604541
107,9.267333,17.793208
108,7.627958,19.917249
109,7.837042,18.120875
110,9.869,18.444041
111,9.965083,18.265958
112,8.054874,17.235166
113,10.165459,17.004374
114,7.948041,17.005666
115,9.101709,17.478166
116,7.723958,18.395374
117,9.206875,17.887375
118,8.177875,16.856333
119,10.048542,16.898124
120,7.754833,17.528874
121,8.970667,18.386124
122,7.641291,22.293625
123,9.765042,21.794
124,8.566375,17.819499
125,13.576625,20.148125
126,8.11125,18.711125
