frame num, cpu frame (ms), gpu frame (ms)
0,4.884792,14.454374
1,6.550708,14.900791
2,4.752292,15.057749
3,4.998791,13.846374
4,6.684417,12.898249
5,4.79725,14.952875
6,4.853375,14.738124
7,4.903792,13.841875
8,6.551291,15.380374
9,4.815,15.240333
10,4.878625,14.171625
11,7.02575,14.655416
12,4.595125,15.181708
13,4.898542,14.043333
14,6.657333,14.668666
15,4.615625,15.070041
16,4.803375,14.336791
17,6.710292,14.573708
18,4.692917,14.945458
19,4.69375,15.102541
20,6.728583,15.195416
21,4.935208,14.789125
22,5.135042,13.820333
23,6.717333,14.914875
24,4.545042,15.217333
25,5.053125,13.694708
26,6.596583,14.662125
27,4.638292,14.871499
28,4.761042,14.476541
29,6.464291,14.565749
30,4.652542,14.811875
31,4.656417,14.720458
32,6.46475,14.791
33,4.643083,14.924625
34,4.703875,14.752833
35,6.425958,13.017499
36,4.970292,14.484458
37,4.591542,14.945375
38,4.855791,13.7065
39,6.423834,14.447499
40,4.615375,14.73975
41,4.709666,14.736333
42,6.431959,15.555124
43,4.8045,15.269374
44,5.080333,13.796749
45,6.938583,14.5545
46,4.648042,15.0145
47,4.763375,14.640791
48,6.644667,14.553916
49,4.6555,14.835958
50,4.725958,14.702458
51,6.40875,14.90825
52,4.696375,15.102041
53,4.875625,14.308416
54,6.565375,14.540291
55,4.802417,14.489958
56,4.739083,14.470666
57,6.453542,14.938499
58,4.682125,14.916291
59,4.648541,14.800541
60,6.700125,13.259875
61,4.639209,14.677583
62,4.679833,13.647999
63,6.342958,13.507374
64,4.899417,15.168458
65,4.920833,13.815583
66,4.741667,15.219208
67,7.101958,13.682499
68,4.605167,15.313708
69,5.033667,13.478041
70,6.897791,15.007083
71,4.851125,15.370333
72,5.091709,12.896125
73,6.795291,15.027541
74,4.826459,14.990833
75,5.106958,13.49725
76,6.608208,14.765416
77,4.909834,12.927125
78,4.902916,13.842791
79,6.413917,14.587458
80,4.728708,13.002
81,4.709875,13.361999
82,6.518709,13.265124
83,4.529541,15.067083
84,4.848459,14.031541
85,6.718375,13.075416
86,4.804958,14.756916
87,4.739625,13.967875
88,6.611,13.234666
