frame,cpu_ms,gpu_ms
0,1.357375,1.426749
1,1.175791,1.6975
2,0.705625,1.894625
3,0.956209,1.749583
4,1.155083,1.578374
5,0.773208,3.075041
6,0.833709,3.177625
7,1.00054,3.130708
8,1.997,2.180624
9,0.968375,1.840666
10,1.1685,1.446041
11,1.336625,1.076624
12,2.245125,2.574875
13,1.984792,1.335749
14,2.377792,1.074041
15,1.311208,1.056625
16,1.063792,1.344708
17,0.708708,1.44025
18,0.929542,1.498541
19,0.87875,1.676749
20,0.789375,1.990541
21,0.93025,2.025
22,1.04325,2.242124
23,1.267708,2.045999
24,0.769958,2.369125
25,1.2135,1.983999
26,1.06,1.952499
27,1.136042,1.954625
28,1.906042,1.028624
29,0.9815,1.074625
30,1.124875,1.186124
31,0.898958,1.361916
32,0.66525,1.738499
33,0.629,2.1165
34,1.024458,1.932249
35,1.020624,3.065166
36,0.994167,3.047416
37,1.0525,2.842375
38,1.948917,1.759749
39,1.095166,1.818208
40,0.843292,1.960166
41,0.976292,2.077083
42,0.831041,2.711375
43,1.023667,2.346874
44,2.219333,1.104
45,0.851167,1.513708
46,0.590375,1.833374
47,0.700458,2.181124
48,1.182792,1.699791
49,1.026542,1.937291
50,1.16725,1.632833
51,0.954958,1.933874
52,0.770333,1.594541
53,1.304209,1.644375
54,1.097958,2.694708
55,2.7075,1.347
56,2.518917,1.093875
57,1.274875,1.277833
58,1.046416,1.354375
59,0.640625,1.698916
60,0.600125,1.994458
61,1.014375,1.919541
62,1.001459,3.07125
63,0.868041,3.206124
64,0.947959,3.055625
65,2.168583,1.797499
66,0.973458,1.971041
67,0.968084,1.988041
68,0.813708,2.148374
69,1.057875,1.877166
70,0.95425,2.154625
71,0.951458,3.532625
72,0.924167,3.545625
73,2.0145,2.312541
74,1.456292,1.987583
75,1.057041,1.928541
76,0.905375,1.968083
77,1.002084,1.914833
78,0.816541,1.94325
79,0.944084,1.969749
80,0.84,2.068875
81,0.931291,2.054375
82,1.052,1.9175
83,0.91475,1.797624
84,0.922125,1.941583
85,0.950042,1.90625
86,0.954417,2.163
87,0.714416,3.892875
88,1.031417,3.78575
89,1.469917,2.922625
90,2.140291,2.030999
91,1.056875,1.904958
92,0.75025,2.070666
93,0.997125,2.006958
94,1.007084,1.881291
95,0.965833,1.794958
96,0.870958,1.843375
97,0.874709,1.863499
98,1.061208,1.752874
99,0.884167,1.776749
100,0.839041,1.866333
101,0.959334,1.887041
102,0.719,2.08725
103,1.025625,3.506583
104,0.884375,3.634041
105,1.00675,3.521125
106,2.433583,1.98775
107,1.091292,1.663083
108,0.941125,1.946333
109,0.978416,1.896416
110,0.878459,2.064916
111,1.183333,1.842874
112,0.877417,1.975583
113,0.863958,2.045958
114,1.047582,2.00225
115,0.94225,2.031625
116,1.074959,2.006416
117,0.907916,2.07475
118,0.861667,2.395083
119,1.093167,3.71825
120,0.975541,3.777499
121,1.910292,2.068875
122,1.835333,1.843541
123,0.976625,1.98075
124,1.008542,1.862875
125,0.929417,1.807374
126,0.952333,1.840499
