frame,cpu_ms,gpu_ms
0,0.606916,1.906583
1,0.986042,2.002249
2,1.049458,2.629541
3,1.113417,2.412999
4,2.1435,1.174208
5,0.608292,1.547333
6,0.609625,1.861249
7,1.061583,1.720874
8,0.629083,2.008833
9,0.977625,3.246249
10,1.048167,3.018999
11,0.892042,2.860624
12,2.127708,1.75575
13,1.412167,2.331375
14,0.654125,2.466666
15,0.976791,2.414874
16,1.518375,2.088041
17,1.03175,2.180874
18,0.886375,2.234666
19,1.21875,1.898124
20,1.080542,1.7605
21,0.839292,1.8275
22,1.136041,1.594125
23,0.606667,1.894041
24,0.943667,3.0255
25,0.994166,2.944833
26,0.895709,2.861374
27,2.006541,1.842958
28,1.046209,1.724083
29,0.999833,1.612083
30,0.61325,1.9115
31,1.07025,1.792124
32,1.060042,2.075625
33,0.566458,2.324041
34,1.058708,2.079916
35,1.187459,1.742458
36,0.895833,1.719124
37,1.35675,1.494416
38,0.604625,1.868541
39,1.065917,1.728083
40,1.044375,3.473708
41,0.584125,3.761625
42,0.908,3.81975
43,2.699666,2.050166
44,0.971417,1.948374
45,0.983917,1.931624
46,1.037582,1.942125
47,0.802583,2.056625
48,0.808334,2.375249
49,1.098958,2.161208
50,1.161042,1.864625
51,1.2395,1.613124
52,0.594458,1.991124
53,1.044583,1.825249
54,0.9965,1.692916
55,0.980084,1.495625
56,0.798291,1.741833
57,1.037292,2.847208
58,0.648417,3.135291
59,0.811166,2.481291
60,2.162625,1.857499
61,1.195209,1.740124
62,1.061125,1.625999
63,0.568125,1.948124
64,1.052875,1.981291
65,0.836708,2.144625
66,1.009625,1.938916
67,1.742292,1.179416
68,0.559041,1.598624
69,0.607459,1.845458
70,1.072875,1.708958
71,0.98425,1.640875
72,0.527541,2.047416
73,1.032917,1.933791
74,1.021792,2.896208
75,0.831041,2.975583
76,0.977584,2.675249
77,1.855833,1.97175
78,0.922125,1.969916
79,0.872417,2.046499
80,1.116458,1.828874
81,0.86925,1.959666
82,1.012208,2.601791
83,0.886584,2.66925
84,2.397166,1.14275
85,0.607042,1.472624
86,0.601042,1.761125
87,0.806166,1.897458
88,1.027625,1.826249
89,0.834334,1.903249
90,0.952791,2.967791
91,0.887792,2.984958
92,0.939333,2.882208
93,1.853042,1.917124
94,1.067,1.691458
95,1.119167,1.589541
96,0.616666,1.858999
97,1.142417,1.98675
98,0.658958,2.261458
99,0.973,2.153249
100,1.24275,1.889
101,1.03525,1.753499
102,0.846334,1.853999
103,0.873208,1.882374
104,0.938583,1.868625
105,0.933,1.869
106,0.834375,1.940916
107,1.023334,2.903874
108,0.891666,2.97975
109,0.866125,2.997666
110,1.941125,2.031958
111,1.008292,1.881208
112,1.115542,1.69275
113,0.679916,1.912625
114,1.094542,1.93425
115,0.7105,2.30325
116,1.08375,1.933124
117,1.330042,1.683
118,0.872041,2.3665
119,1.2255,2.148375
120,0.57525,2.476541
121,1.371417,2.042916
122,0.971625,3.126124
123,0.868875,3.215624
124,0.943375,3.105
125,2.071208,2.040999
126,0.899917,2.044041
127,0.951417,1.985208
128,0.904583,2.040875
129,0.9175,2.020458
130,1.08775,2.011416
131,0.846792,2.089874
132,1.1925,1.738041
133,1.378625,1.186541
134,0.689833,1.556916
135,0.601458,1.887708
136,0.960042,1.839375
137,0.870042,1.850083
138,1.022458,1.783708
139,1.018083,2.807999
140,0.632167,3.030749
141,0.89275,2.518166
142,2.037375,2.02
143,0.916792,2.032374
144,0.9075,2.031125
145,0.969416,1.906124
146,1.080542,1.800249
147,0.687625,2.191291
148,1.231458,1.781124
149,1.537292,1.2385
150,0.540125,1.662083
151,0.609833,1.915124
152,0.902084,1.914624
153,1.074583,1.762416
154,0.80325,1.746625
155,1.1425,1.656583
156,0.564,3.068625
157,1.151167,2.919083
158,0.827333,2.400166
159,1.966167,2.007708
160,0.895083,2.034249
161,0.907792,2.03575
162,1.003749,1.929541
163,1.098291,2.096249
164,1.17875,1.855
165,0.570584,2.8915
166,1.226041,2.584666
167,0.9565,2.518916
168,1.487417,1.891875
169,1.110583,1.730041
170,1.035625,1.64625
171,0.588042,2.965583
172,1.143458,2.793624
173,1.069834,2.50725
174,1.744291,1.8365
175,0.91,1.849666
176,0.919,1.831625
177,0.896,1.8555
178,0.914,1.771499
179,0.968625,2.1725
180,1.103167,1.995624
181,0.631792,2.277583
182,1.246666,1.994375
183,1.004875,1.898374
184,1.082709,1.739625
185,1.059041,1.603708
186,0.6095,1.886749
187,1.081917,1.744666
188,1.034292,2.716333
189,0.56825,3.092625
190,0.954666,2.98
191,1.97725,2.003666
192,0.920917,1.883333
193,0.951042,1.918958
194,1.119,1.724708
195,1.174,2.390749
196,0.739375,2.531208
197,0.685,2.781208
198,1.906125,1.81975
199,0.904958,1.860708
200,0.869583,1.859624
201,1.02225,1.729041
202,0.890625,1.719333
203,1.093417,1.638083
204,0.609333,3.016041
205,1.081917,2.829124
206,1.078542,2.593
207,1.649208,1.93425
208,0.898458,1.961624
209,0.909917,1.931458
210,0.910667,1.937124
211,0.997125,1.901041
212,0.918166,1.926124
213,1.213459,1.761124
214,0.638583,2.064249
215,1.691667,1.296625
216,0.60675,1.644374
217,0.598708,1.912416
218,1.103375,1.61375
219,1.1525,1.501125
220,0.659458,1.736124
221,0.855709,2.909249
222,0.933333,2.881125
223,0.889833,2.404
224,1.919125,1.918083
225,0.90975,1.905875
226,1.121917,1.751916
227,1.063542,1.62825
228,0.605125,1.987208
229,1.1095,1.821458
230,0.741291,1.994999
231,1.797875,1.100833
232,0.74825,1.37775
233,0.691917,1.616708
234,0.710083,1.826625
235,0.984375,1.75075
236,1.096584,1.606041
237,0.605208,3.102666
238,1.073333,2.927541
239,1.070292,2.713208
240,1.740292,1.922958
241,0.917166,1.934374
242,0.913167,1.932124
243,0.978292,1.902416
244,1.054083,1.800374
245,1.046375,2.090166
246,0.60025,2.3275
247,1.068958,2.059124
248,1.498542,1.620208
249,0.75375,1.80475
250,0.977333,1.747499
251,1.122459,1.60225
252,0.586416,2.53625
253,1.051917,3.639249
254,1.130333,3.520249
255,1.256959,3.185124
256,2.1425,1.926416
257,1.122416,1.767
258,1.070709,1.638499
259,0.627666,1.932541
260,0.955959,2.168791
261,1.070333,2.014166
262,1.116083,1.803249
263,1.044709,1.778749
264,0.957416,1.723499
265,0.655375,1.930875
266,1.127042,1.758625
267,0.878125,1.836583
268,0.859958,1.850041
269,1.001334,1.779
270,1.072375,2.827916
271,0.664,2.977374
272,1.146791,2.8645
273,1.9265,1.9285
274,0.922709,1.752499
275,1.191708,1.5
276,0.813,1.80225
277,0.709667,2.799874
278,1.183166,2.539958
279,2.315,1.048374
280,0.701125,1.353624
281,0.689917,1.623249
282,0.703375,1.819333
283,1.008124,1.731416
284,1.054667,1.623125
285,0.644083,3.047124
286,0.951583,3.00875
287,0.941125,2.957625
288,1.923917,2.020124
289,1.146375,1.645583
290,0.72525,1.902166
291,1.109375,1.743083
292,1.073417,1.704416
293,0.720458,1.961125
294,0.951583,1.970874
295,0.96025,1.903625
296,1.128334,1.721333
297,0.954541,1.714916
298,0.820334,1.761666
299,0.84575,1.84825
300,1.068916,1.678875
301,0.673875,1.92325
302,1.072459,2.886749
303,0.942916,2.867958
304,1.094417,2.663708
305,1.67875,1.924791
306,0.9225,1.910999
307,1.086958,1.762249
308,0.893709,1.751875
309,0.927625,2.0305
310,0.720333,2.161625
311,1.029542,2.098166
312,1.24725,1.784999
313,0.928416,1.824625
314,0.89275,1.884791
315,0.911709,1.884791
316,1.053041,1.719249
317,1.035167,1.632291
318,0.541917,3.165
319,1.032666,3.0015
320,0.915125,2.968041
321,1.914667,1.993
322,0.882375,2.038749
323,1.1035,1.824958
324,0.854625,1.858499
325,0.935208,1.832333
326,0.881584,2.207583
327,0.774875,2.3445
328,1.074041,2.164875
329,1.170584,2.461416
330,0.948166,2.416041
