frame,cpu_ms,gpu_ms
0,3.854334,4.613124
1,1.747375,4.857541
2,2.224791,4.715749
3,1.999875,4.677999
4,2.05975,6.585708
5,2.088458,6.504249
6,2.050833,5.987874
7,3.926792,4.00175
8,1.985708,4.270291
9,1.997292,4.633749
10,1.925291,4.788291
11,2.092209,6.7835
12,2.036,6.737999
13,2.065291,6.346
14,3.942792,4.16975
15,1.960333,4.320083
16,2.191209,3.983083
17,1.827083,4.430791
18,2.10625,6.5595
19,2.0055,6.268208
20,2.193417,6.104624
21,3.871333,4.419874
22,1.913917,4.601499
23,1.920625,4.542458
24,2.099791,4.30675
25,2.041167,4.489791
26,1.904167,6.394166
27,2.157625,6.125041
28,1.865166,6.259249
29,3.832417,4.589958
30,1.88175,4.652791
31,2.048166,4.492375
32,2.073083,4.499916
33,1.953042,6.484583
34,1.881666,6.111208
35,2.145917,6.236249
36,3.881583,4.41875
37,1.926334,4.309499
38,2.207791,3.749
39,1.907834,4.252125
40,1.955791,6.279375
41,1.819084,6.004041
42,2.062415,6.018583
43,3.809,4.202125
44,1.626625,4.702583
45,2.109792,4.481874
46,2.044582,4.318708
47,2.004709,6.261583
48,1.832333,5.703625
49,2.070291,5.791999
50,3.804083,4.007708
51,1.905583,4.246249
52,1.82775,4.189125
53,1.892709,4.300291
54,2.102708,4.264333
55,1.791583,4.578208
56,1.906209,6.305624
57,2.123375,6.216999
58,2.0255,6.233499
59,3.602708,3.907125
60,2.198417,3.680208
61,1.98,4.000874
62,1.753166,4.301458
63,1.724209,6.262166
64,1.992666,6.32325
65,2.060334,6.260499
66,3.648458,4.43075
67,2.063708,3.841791
68,2.071584,3.723999
69,1.724625,4.314416
70,1.736333,4.23025
71,2.101917,5.306874
72,2.277833,5.610791
73,1.737625,5.650499
74,3.243208,4.368999
75,2.043459,4.302708
76,2.047958,4.274375
77,2.025707,4.030999
78,1.82975,5.70875
79,1.887709,5.694833
80,1.89225,5.965
81,3.404875,4.242041
82,2.155375,3.771249
83,1.95,3.91625
84,2.188833,3.789999
85,1.657708,3.600125
86,2.143959,5.342999
87,1.842291,5.682083
88,1.591875,6.020208
89,3.464917,4.201499
90,2.034833,4.155208
91,2.061542,4.27725
92,1.861208,4.095625
93,1.872792,3.829833
94,2.044417,5.318499
95,1.699625,5.388208
96,1.561083,6.110708
97,3.44125,4.485083
98,2.063416,4.378666
99,2.052166,4.504833
100,1.814417,4.174874
101,2.086208,3.60575
102,2.104417,5.235083
103,1.528458,5.811166
104,1.505125,5.927375
105,3.679209,3.974249
106,2.082458,3.947833
107,1.8725,4.157833
108,1.57025,4.267625
109,2.050958,4.004916
110,2.063708,5.720374
111,1.768166,5.823083
112,1.683875,5.583791
113,3.736042,3.823
114,1.797917,4.084416
